itemid,vm.memory.size[total]_clock,num,value_min,vm.memory.size[total]_avg,value_max
41149,"04/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"04/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"05/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"06/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"07/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"08/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"09/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"10/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"11/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"12/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"13/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"14/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"15/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"16/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,00:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,01:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,02:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,03:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,04:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,05:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,06:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,07:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,08:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,09:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,10:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,11:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,12:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,13:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,14:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,15:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,16:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,17:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,18:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,19:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,20:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,21:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,22:00",1,202836697088,202836697088,202836697088
41149,"17/08/2021,23:00",1,202836697088,202836697088,202836697088
41149,"18/08/2021,00:00",1,202836697088,202836697088,202836697088
